experiment	track	primary_metric	status	commit	description
E0001	primary	0.029442	keep	dca9c11d0af4b5d2b41ed395054d352689588352	E0001 anchor: Fisher 1936 LDA, four features, fit train-only on the fresh declared split (seed 20260907); sets the frontier and the floor's subject (allow-rerun: the anchor IS the committed base configuration); first valid result on this track
E0002	primary	0.178104	discard	784f2a61cedb7a9d7dd51fcde939ee75dbc914b9	E0002 positive control: sepal-only LDA - registered instrument check, expected large degradation vs the anchor frontier; did not improve track frontier 0.029442 by minimum_delta=0
E0003	primary	0.024709	discard	c94e5437adaff50311a4846017d5b271cf36a77e	verification parade: qda - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0004	primary	0.044891	discard	d8a6620c6346279b52eceb7172699ce08424f256	verification parade: gnb - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0005	primary	0.026958	discard	b2e684bb0950bf7bff1f2a3f0628f965b4584b19	verification parade: lda_shrinkage - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0006	primary	0.036124	discard	eba221dce7c947fabf71cc90d2b6adfcf03ee50c	verification parade: lda_platt - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0007	primary	0.033187	discard	dd92a2203499b39a83d2c765e1e4538b70fa1098	verification parade: lda_isotonic - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0008	primary	0.042259	discard	9ee021f7236dc3c74e5d35f143a5787b790fb056	verification parade: logit_l2 - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0009	primary	0.039055	discard	7dc986c0ae44dae6ef6d7955c50d721f6f172153	verification parade: logit_area - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0010	primary	0.02867	discard	8f9089561b93c6ba1a59d26500338e3fef3edc8b	verification parade: knn_tuned - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
