dgp	n	model	rep	error
G2-irrelevant-dims	8	qda	0	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	1	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	2	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	3	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	4	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	5	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	6	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	7	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	8	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	9	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	10	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	11	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	12	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	13	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	14	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	15	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	16	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	17	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	18	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	19	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	20	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	21	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	22	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	23	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	24	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	25	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
G2-irrelevant-dims	8	qda	26	LinAlgError: The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 4 samples and 18 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.
