experiment	track	primary_metric	status	commit	description
E0001	reproduction	0	measured	77a4c4d46f6508a933e1c2e2c2e951354b9ca1f1	identity anchor: Table 1's published sums (21.873 Mpc, 8955 km/s) and both row counts (24, 22) recomputed from the bundled bytes; hard-STOP on mismatch; registered cell measured
E0002	reproduction	1	measured	67599afebbe767bc81c437e81805dd13bad5eabc	two-parameter fits of Table 1 (through the origin, and free-intercept) against Hubble's published K = 465 +/- 10; registered cell measured
E0003	reproduction	1	measured	19ee81f77341307ef869dd61952bc40c789ad0b6	reproduce Table 1's printed absolute magnitudes from its own m_t and r_mpc via M = m - 5log10(r) - 25, tolerance 0.06 mag per object; rehearsal of the sealed cell's machinery; registered cell measured
E0004	reproduction	1	measured	86ffbdc768b30aad538aaec14edd939e6def18f1	four-parameter solar-motion refit against 465 +/- 50: audit whether the model's per-object coordinate inputs are obtainable from the tables, the article text, or an offline catalogue; registered cell measured
E0005	reproduction	1	measured	1e844f2251a36a9e8027cf12d011ce1acadb3dc2	nine-group solution against 513 +/- 60: audit whether the paper's grouping can be reconstructed from what it prints, and record where the textbook 500 actually comes from; registered cell measured
E0006	estimate	454.158441	measured	fc848b9bc7eda9257d1e113fc3d79625bbef4395	bootstrap interval for K: 2000 case resamples of the 24 (r,v) pairs, seed block A, percentile 95%, for both two-parameter estimators; registered cell measured
E0007	estimate	728.366015	measured	86d942c630ad244d18b040bc32470b67a0efa2e7	inverse regression (r on v, inverted) versus forward (v on r), paired on 2000 common resamples from seed block A, in units of the paired bootstrap SE; registered cell measured
E0008	estimate	454.337124	measured	b4fd7521481c5b4d3e9005817b8c0f6d66eca17c	jackknife influence: leave-one-out K for each of the 24 objects, plus the joint influence of the four Virgo-cluster rows that share one assigned distance; registered cell measured
E0009	simulate	0.911	measured	4ff2ad9c00b60ad91f49770c4ae3fc1131d70dd7	coverage of the 95% percentile-bootstrap interval for K under the declared DGP at Table 1's 24 design points, 1000 replicates x 500 resamples, development seed block B; registered cell measured
E0010	simulate	0.938	measured	dfa3be61496971ec052e9140979c89825129839e	coverage of the analytic normal-theory interval for K under the same declared DGP and seed block B, 1000 replicates — the diagnostic comparison against E0009's bootstrap coverage; registered cell measured
